OBJECTID,FeatureId,Name,Sensitive,Type,Access,LastUpdate,SHAPE_Length,SHAPE_Area
442,1943,KEN-DEE MARSHES,OPEN,RSPB,Publicised Reserve,2021/02/25 00:00:00+00,18768.8798812615,-1049278.00848018
443,2008,OUSE WASHES,OPEN,RSPB,Publicised Reserve,2017/09/20 00:00:00+00,51795.2529062925,-18113618.6705338
444,2041,NENE WASHES,OPEN,RSPB,Publicised Reserve,2013/09/24 00:00:00+00,28403.5364654125,-11239230.2290719
445,2195,LANGSTONE HARBOUR,OPEN,RSPB,Publicised Reserve,2021/09/15 00:00:00+00,16270.1931489121,-5847591.57296329
446,2476,ABERNETHY,OPEN,RSPB,Publicised Reserve,2020/10/07 00:00:00+00,121139.166556716,-136196077.489361
447,2644,ARNE,OPEN,RSPB,Publicised Reserve,2020/05/07 00:00:00+00,53942.2815594924,-6263934.81463509
448,2663,LEIGHTON MOSS & MORECAMBE BAY,OPEN,RSPB,Publicised Reserve,2021/03/19 00:00:00+00,56885.4036382738,-28334455.8774816
449,13201,AIRDS MOSS,OPEN,RSPB,Non-Publicised Reserve,2021/07/16 00:00:00+00,22549.4008278354,-7626006.03023437
450,13312,EXE ESTUARY,OPEN,RSPB,Publicised Reserve,2020/04/29 00:00:00+00,16655.8875707403,-1721516.08672348
451,13321,COLL,OPEN,RSPB,Publicised Reserve,2021/05/20 00:00:00+00,59572.8178089108,-12745009.7567257
452,13325,HAM WALL,OPEN,RSPB,Publicised Reserve,2013/09/24 00:00:00+00,9754.26412610809,-6685899.89819216
453,13347,CORS DDYGA,OPEN,RSPB,Publicised Reserve,2021/04/01 00:00:00+00,16485.8024658374,-2815211.176445
454,13367,FANNYSIDE,OPEN,RSPB,Non-Publicised Reserve,2021/02/12 00:00:00+00,5144.84328246925,-599776.319208298
455,20083,THE OA,OPEN,RSPB,Publicised Reserve,2021/03/12 00:00:00+00,46139.4301658383,-21536811.9599486
456,20095,DINGLE MARSHES,OPEN,RSPB,Publicised Reserve,2020/07/29 00:00:00+00,26641.6149817554,-2047645.83808883
457,20161,LANGFORD LOWFIELDS,OPEN,RSPB,Publicised Reserve,2017/06/02 00:00:00+00,8568.91256437058,-1686749.82227349
458,20369,BALLINLAGGAN,OPEN,RSPB,Non-Publicised Reserve,2020/10/08 00:00:00+00,3394.91179817007,-208666.099632166
459,21264,LOCH OF STRATHBEG,OPEN,RSPB,Publicised Reserve,2021/04/16 00:00:00+00,27499.1394089006,-8912686.77852866
